key,north_weight,east_weight,south_weight,west_weight
"(34.217391,125.256410)",3,2,1,0
"(34.260870,125.256410)",1,0,0,0
"(34.304348,125.256410)",4,0,1,0
"(34.347826,125.256410)",4,3,3,0
"(34.391304,125.256410)",7,0,0,0
"(34.434783,125.256410)",2,0,1,0
"(34.478261,125.256410)",4,0,0,0
"(34.521739,125.256410)",2,2,1,0
"(34.565217,125.256410)",2,0,0,0
"(34.608696,125.256410)",2,1,1,0
"(34.652174,125.256410)",9,4,3,0
"(34.695652,125.256410)",8,5,1,0
"(34.739130,125.256410)",5,2,1,0
"(34.782609,125.256410)",0,0,2,0
"(34.826087,125.256410)",0,0,1,0
"(34.869565,125.256410)",1,0,1,0
"(34.913043,125.256410)",2,0,0,0
"(34.956522,125.256410)",3,0,0,0
"(35.000000,125.256410)",4,1,0,0
"(35.043478,125.256410)",6,3,2,0
"(35.086957,125.256410)",3,3,2,0
"(35.130435,125.256410)",1,3,2,0
"(35.173913,125.256410)",1,2,3,0
"(35.217391,125.256410)",1,0,2,0
"(35.260870,125.256410)",4,0,5,0
"(35.304348,125.256410)",3,0,5,0
"(35.347826,125.256410)",6,0,5,0
"(35.391304,125.256410)",2,0,5,0
"(35.434783,125.256410)",2,0,3,0
"(35.478261,125.256410)",1,0,4,0
"(35.521739,125.256410)",2,0,1,0
"(35.565217,125.256410)",3,0,1,0
"(35.608696,125.256410)",3,0,1,0
"(35.652174,125.256410)",2,0,0,0
"(35.695652,125.256410)",0,0,0,0
"(35.739130,125.256410)",1,0,0,0
"(35.782609,125.256410)",1,0,0,0
"(35.826087,125.256410)",0,1,0,0
"(35.869565,125.256410)",0,1,0,0
"(35.913043,125.256410)",0,0,0,0
"(35.956522,125.256410)",0,0,0,0
"(32.000000,125.307692)",40,0,2,0
"(32.043478,125.307692)",9,1,6,0
"(32.086957,125.307692)",8,0,2,0
"(32.130435,125.307692)",6,1,1,0
"(32.173913,125.307692)",2,0,1,0
"(32.217391,125.307692)",1,2,2,0
"(32.260870,125.307692)",0,0,4,0
"(32.304348,125.307692)",1,0,3,0
"(32.347826,125.307692)",2,0,2,0
"(32.391304,125.307692)",2,0,1,0
"(32.434783,125.307692)",2,0,2,0
"(32.478261,125.307692)",1,0,2,0
"(32.521739,125.307692)",1,0,1,0
"(32.565217,125.307692)",1,0,1,0
"(32.608696,125.307692)",1,0,0,0
"(32.652174,125.307692)",2,0,0,0
"(32.695652,125.307692)",2,1,0,0
"(32.739130,125.307692)",0,1,0,0
"(32.782609,125.307692)",1,0,1,0
"(32.826087,125.307692)",4,0,2,0
"(32.869565,125.307692)",7,1,1,0
"(32.913043,125.307692)",2,1,3,0
"(32.956522,125.307692)",1,1,3,0
"(33.000000,125.307692)",2,0,2,0
"(33.043478,125.307692)",1,0,1,0
"(33.086957,125.307692)",3,3,2,0
